rider_id,date,location,rides,on_time_rides,cancelled_rides,missed_rides,distance_km,overhead_distance_km,earnings,peak_bonus,waiting_earnings,fuel_cost,idle_minutes,work_hours,customer_rating,avg_speed_kmph,network_downtime
R523BS,2025-04-01,Chennai,10,8,0,0,42.7,11.18,521.23,0,17.96,123.02,85,4.57,4.41,25.77,1
R375XK,2025-04-01,Bangaluru,15,9,2,0,66.78,3.34,656.66,80,13.91,178.23,73,5.36,4.24,23.45,11
R321NH,2025-04-01,Mumbai,19,12,1,2,81.06,4.82,888.03,100,27.11,206.37,49,6.26,4.36,26.35,3
R331KN,2025-04-01,Kolkata,10,9,1,3,42.55,10.69,390.25,0,11.22,121.27,50,3.99,4.45,24.59,2
R179VP,2025-04-01,Mumbai,20,15,1,0,89.99,3.23,867.76,100,18.56,196.34,53,7.12,4.85,19.39,2
R197CQ,2025-04-01,Hyderabad,15,13,2,2,69.95,16.26,718.79,80,9.6,194.78,55,6.08,4.57,20.15,3
R202SV,2025-04-01,Mumbai,13,9,0,1,57.94,2.27,533.89,80,21.64,152.53,46,4.19,4.21,27.27,0
R741ET,2025-04-01,Kolkata,16,10,0,1,71.14,4.07,899.79,80,23.1,147.89,53,6.52,4.16,20.42,1
R913YM,2025-04-01,Chennai,8,6,3,1,34.4,4.44,297.18,0,11.02,87.81,78,3.86,4.87,20.37,5
R334VF,2025-04-01,Chennai,13,9,0,2,64.3,1.8,650.84,80,16.25,148.75,87,5.59,4.21,21.91,1
R976YE,2025-04-01,Hyderabad,11,8,3,2,49.21,11.65,467.08,0,13.53,159.67,44,4.44,4.33,20.85,1
R946MT,2025-04-01,Mumbai,19,15,0,0,86.7,6.16,768.15,100,16.31,223.09,70,6.57,4.59,21.88,3
R915VI,2025-04-01,Mumbai,13,10,3,3,54.78,11.88,604.13,80,19.14,144.69,74,5.26,4.64,24.05,2
R372MI,2025-04-01,Delhi,13,9,3,0,62.96,14.6,629.31,80,14.97,181.36,35,5.18,4.39,20.75,2
R978PJ,2025-04-01,Mumbai,18,15,1,2,81.26,4.25,933.59,100,26.61,220.64,38,6.01,4.49,25.84,1
R257KU,2025-04-01,Bangaluru,15,13,1,3,67.06,16.62,635.55,80,18.78,181.79,78,7.09,4.59,19.69,3
R783ZJ,2025-04-01,Bangaluru,8,6,3,2,32.4,0.86,264.46,0,9.76,68.22,54,2.95,4.62,27.15,0
R263PT,2025-04-01,Mumbai,13,10,3,2,53.1,1.58,531.79,80,13.49,115.09,61,4.63,4.42,20.77,5
R818WE,2025-04-01,Chennai,13,10,3,3,55.46,16.84,515.49,80,13.79,185.58,58,5.37,4.85,20.03,3
R565NK,2025-04-01,Kolkata,9,6,3,0,40.16,8.61,406.19,0,17.01,108.27,48,4.07,4.17,21.63,3
R737GV,2025-04-01,Chennai,15,11,3,1,62.83,17.28,626.08,80,29.69,147.77,69,6.49,4.23,22.66,1
R943UN,2025-04-01,Delhi,11,10,1,1,55.67,10.87,590.67,0,14.29,155.32,71,4.67,4.59,24.76,2
R989RG,2025-04-01,Hyderabad,21,19,2,2,95.22,2.28,990.73,100,27.34,263.43,47,7.61,4.74,19.72,9
R451RD,2025-04-01,Bangaluru,9,8,3,2,43.03,12.37,401.04,0,8.62,125.84,90,4.8,4.68,21.67,12
R375ZA,2025-04-01,Bangaluru,11,8,3,3,49.03,10.03,524.71,0,11.56,155.23,90,5.55,4.73,19.45,5
R190AD,2025-04-01,Bangaluru,15,11,1,3,69.89,3.66,697.84,80,15.68,191.87,82,6.38,4.41,19.46,8
R452ST,2025-04-01,Mumbai,19,15,3,3,92.44,13.76,892.79,100,18.83,258.31,65,6.76,4.77,24.28,6
R204WY,2025-04-01,Delhi,17,13,1,3,73.2,11.03,753.42,80,12.9,145.61,45,5.5,4.76,22.75,2
R992JF,2025-04-01,Hyderabad,16,13,0,2,71.35,19.44,748.07,80,21.8,195.44,83,7.49,4.56,19.63,2
R914UX,2025-04-01,Chennai,6,5,0,2,27.44,5.86,309.89,0,10.5,82.72,59,3.22,4.55,22.15,0
R819FO,2025-04-01,Kolkata,14,9,1,0,61.89,9.79,651.57,80,14.58,183.18,55,4.64,4.26,25.99,2
R386ZR,2025-04-01,Chennai,16,14,2,1,75.08,3.71,700.86,80,12.21,189.76,81,6.42,4.84,19.55,6
R537FF,2025-04-01,Hyderabad,13,11,3,1,60.63,8.44,528.75,80,16.17,156.44,48,5.23,4.68,20.37,7
R482CI,2025-04-01,Delhi,7,5,1,0,31.29,4.85,318.86,0,6.22,63.79,46,3.1,4.68,20.29,5
R785AM,2025-04-01,Bangaluru,9,8,2,3,40.07,11.64,437.03,0,7.33,104.51,39,3.36,4.4,25.02,8
R113QZ,2025-04-01,Kolkata,16,11,0,0,76.08,11.72,829.21,80,19.7,206.81,47,6.27,4.32,23.11,2
R622PX,2025-04-01,Delhi,13,8,0,3,57.77,12.31,608.62,80,21.05,161.6,39,5.23,4.09,20.65,6
R503CI,2025-04-01,Hyderabad,6,5,3,2,27.56,6.76,339.93,0,11.82,73.53,40,3.12,4.56,19.54,12
R358NP,2025-04-01,Hyderabad,7,5,2,3,33.92,3.49,338.37,0,8.51,82.91,54,3.4,4.36,20.9,1
R609GT,2025-04-01,Delhi,10,8,0,3,36.81,6.54,435.42,0,7.54,76.83,41,2.93,4.54,26.26,3
R522MT,2025-04-01,Chennai,14,9,0,0,61.86,3.09,543.61,80,15.69,134.36,46,4.58,4.25,26.64,3
R917HV,2025-04-01,Delhi,15,13,1,1,68.98,12.98,581.11,80,11.75,157.46,69,5.04,4.46,27.24,1
R133JX,2025-04-01,Delhi,10,6,1,3,49.13,12.17,469.01,0,12.5,129.28,89,4.79,4.38,25.4,6
R139GF,2025-04-01,Mumbai,15,13,3,2,64.7,3.53,700.14,80,23.02,132.13,89,6.19,4.83,23.17,4
R386LJ,2025-04-01,Hyderabad,12,10,3,2,51.66,1.51,583.37,0,20.4,118.07,60,4.46,4.56,23.12,8
R474SE,2025-04-01,Kolkata,11,8,0,2,51.72,1.44,523.87,0,12.96,134.36,86,4.89,4.73,19.66,2
R151OX,2025-04-01,Delhi,18,15,2,1,81.53,16.41,705.58,100,28.57,240.7,65,6.84,4.43,23.56,1
R100DM,2025-04-01,Chennai,8,5,2,0,30.75,10.73,287.61,0,15.23,86.39,75,3.95,4.24,22.36,0
R713FF,2025-04-01,Bangaluru,12,8,2,2,55.5,1.68,638.14,0,18.11,108.28,86,5.48,4.35,20.83,6
R794PP,2025-04-01,Bangaluru,19,15,2,1,86.66,6.32,906.28,100,39.95,217.45,56,7.21,4.45,23.27,5
R186VL,2025-04-01,Bangaluru,14,11,1,3,63.36,19.45,751.05,80,15.51,158.47,64,6.09,4.41,22.38,12
R666WV,2025-04-01,Chennai,12,7,1,2,56.55,12.35,580.97,0,19.83,167.88,35,5.04,4.1,22.9,5
R480WY,2025-04-01,Chennai,5,4,3,1,23.49,0.51,218.5,0,7.61,60.15,49,2.5,4.61,22.27,2
R303JU,2025-04-01,Chennai,15,9,3,0,66.89,3.21,707.23,80,19.99,140.5,34,6.94,4.13,19.66,6
R679HI,2025-04-01,Chennai,11,9,3,1,51.66,1.05,594.45,0,15.73,104.07,65,4.39,4.7,21.85,0
R587AJ,2025-04-01,Delhi,16,13,2,0,67.91,10.04,719.6,80,21.7,192.78,49,5.86,4.5,20.67,5
R894RU,2025-04-01,Mumbai,19,16,2,0,85.54,11.77,1091.15,100,24.96,248.4,50,6.64,4.62,22.78,3
R729TG,2025-04-01,Delhi,5,3,2,3,23.56,5.48,198.68,0,9.66,58.26,81,3.23,4.19,22.75,4
R779XV,2025-04-01,Chennai,15,12,0,1,73.99,15.99,810.75,80,15.52,219.4,46,5.26,4.8,25.45,4
R295PH,2025-04-01,Delhi,10,7,2,3,46.24,3.49,459.34,0,19.51,121.91,48,4.29,4.18,20.7,0
R229LH,2025-04-01,Hyderabad,7,6,2,2,30.62,8.55,278.34,0,7.3,100.91,46,3.21,4.74,20.12,2
R640EN,2025-04-01,Delhi,7,5,3,3,32.75,4.85,280.63,0,11.14,75.54,66,3.56,4.87,21.18,1
R183QG,2025-04-01,Bangaluru,13,8,3,0,59.37,18.18,696.55,80,26.97,152.61,86,5.94,4.26,26.31,11
R754FP,2025-04-01,Hyderabad,7,5,0,3,35.1,2.23,376.61,0,10.52,103.71,70,3.79,4.18,20.39,3
R741CY,2025-04-01,Hyderabad,8,6,1,1,29.38,3.11,333.05,0,11.99,65.6,74,3.49,4.23,21.98,7
R770HA,2025-04-01,Bangaluru,8,6,3,0,34.81,10.68,370.92,0,14.7,102.74,85,4.14,4.28,24.87,12
R694UX,2025-04-01,Delhi,7,5,0,3,31.68,3.59,324.65,0,5.83,65.46,48,2.99,4.38,20.7,5
R144TU,2025-04-01,Chennai,8,7,2,2,35.08,2.43,365.82,0,7.22,87.13,87,3.38,4.66,27.24,6
R402QK,2025-04-01,Kolkata,9,7,0,3,41.21,5.07,472.38,0,17.52,108.2,52,4.1,4.58,20.69,1
R930MT,2025-04-01,Mumbai,10,7,1,2,44.01,11.7,495.02,0,14.91,110.3,85,4.71,4.34,23.36,3
R781FP,2025-04-01,Mumbai,12,11,2,3,57.76,1.87,597.64,0,12.7,154.41,73,4.48,4.8,23.36,4
R183NV,2025-04-01,Kolkata,16,12,0,1,76.82,11.44,818.55,80,18.35,223.37,44,5.73,4.56,23.37,1
R101FK,2025-04-01,Hyderabad,19,14,0,0,89.59,20.34,969.47,100,28.67,237.42,40,6.75,4.83,25.09,4
R652JQ,2025-04-01,Bangaluru,13,9,3,1,61.67,13.1,662.89,80,16.02,157.05,43,5.35,4.36,21.02,5
R707UM,2025-04-01,Kolkata,16,14,2,1,73.4,2.28,850.35,80,19.68,188.29,51,5.34,4.59,24.68,0
R590ZU,2025-04-01,Kolkata,17,12,3,1,81.62,13.99,915.38,80,19.28,230.46,38,6.94,4.1,20.07,1
R234EA,2025-04-01,Kolkata,11,10,1,2,48.07,11.09,477.31,0,14.24,137.34,22,3.94,4.53,21.57,3
R722CR,2025-04-01,Mumbai,9,8,2,2,40.84,3.2,399.05,0,10.4,116.49,54,3.61,4.52,22.91,6
R342FM,2025-04-01,Chennai,7,5,0,3,27.22,2.94,302.38,0,7.57,76.82,59,2.75,4.71,22.83,4
R253SZ,2025-04-01,Chennai,12,9,3,0,52.99,3.18,489.34,0,17.15,123.08,70,4.8,4.3,23.02,3
R287JC,2025-04-01,Mumbai,15,10,1,3,75.19,7.37,744.71,80,21.66,164.41,58,5.56,4.24,25.31,1
R730OO,2025-04-01,Chennai,6,5,1,1,22.73,1.8,259.33,0,9.04,58.54,62,2.87,4.4,21.24,6
R797CQ,2025-04-01,Delhi,7,6,2,3,30.42,2.74,318.59,0,5.65,61.38,68,3.13,4.5,21.9,2
R988UG,2025-04-01,Mumbai,13,11,3,2,59.12,10.73,491.81,80,19.12,153.98,59,5.48,4.52,20.78,3
R566VR,2025-04-01,Delhi,15,13,3,3,68.85,20.7,667.92,80,20.83,198.07,74,6.29,4.51,24.2,4
R931FL,2025-04-01,Kolkata,7,6,0,0,29.21,8.33,345.82,0,9.62,90.24,68,3.14,4.85,26.55,3
R811WN,2025-04-01,Bangaluru,16,10,3,3,64.44,16.44,655.31,80,27.36,165.69,75,6.1,4.35,26.25,0
R873MN,2025-04-01,Mumbai,14,9,1,3,63.8,9.2,724.57,80,18.54,164.3,54,5.06,4.35,23.4,3
R731WF,2025-04-01,Hyderabad,8,7,2,3,41.33,7.41,400.77,0,13.01,124.48,51,4.33,4.83,19.45,7
R108NG,2025-04-01,Delhi,16,10,2,0,71.91,5.56,730.13,80,23.06,143.99,53,5.46,4.2,25.8,0
R493UC,2025-04-01,Hyderabad,12,10,2,2,54.28,15.65,495.49,0,11.19,154.0,86,4.9,4.88,25.32,2
R542FT,2025-04-01,Hyderabad,11,8,2,1,47.54,7.2,452.02,0,15.44,141.75,51,4.78,4.11,21.08,1
R792DT,2025-04-01,Mumbai,14,11,0,3,67.86,16.05,799.82,80,25.82,199.88,60,6.32,4.65,22.42,0
R400ZO,2025-04-01,Hyderabad,8,7,3,2,37.94,5.6,431.28,0,15.98,85.6,82,4.17,4.67,23.62,6
R978FK,2025-04-01,Kolkata,13,11,3,1,56.02,18.14,667.37,80,13.74,154.13,53,4.69,4.6,27.23,5
R796AY,2025-04-01,Bangaluru,8,6,3,0,38.42,2.51,357.48,0,7.72,106.62,49,3.26,4.79,21.84,2
R828PJ,2025-04-01,Mumbai,13,8,1,1,56.55,12.43,620.78,80,12.99,135.42,49,4.77,4.17,21.68,0
R156MV,2025-04-01,Hyderabad,9,8,0,0,42.95,10.15,466.76,0,13.11,148.44,43,3.75,4.52,25.97,8
R255XH,2025-04-01,Kolkata,12,8,3,3,50.91,4.32,578.45,0,10.49,141.93,43,4.03,4.39,22.2,4
R729OZ,2025-04-01,Mumbai,8,6,1,0,37.85,6.94,415.41,0,6.46,103.26,67,3.92,4.73,19.52,1
R538WE,2025-04-01,Mumbai,14,9,3,1,62.29,11.97,699.01,80,16.83,141.55,60,5.31,4.11,22.05,1
R830SC,2025-04-01,Chennai,12,9,0,0,44.37,15.99,424.84,0,16.38,143.84,37,3.99,4.28,27.06,2
R790IT,2025-04-01,Hyderabad,7,6,2,1,32.97,1.77,398.45,0,9.8,78.7,79,3.7,4.87,21.79,10
R250JD,2025-04-01,Kolkata,8,6,2,1,35.98,5.93,441.43,0,8.62,84.88,75,3.34,4.19,26.32,0
R606BP,2025-04-01,Kolkata,17,11,3,2,77.16,5.17,873.25,80,17.34,196.49,41,7.02,4.24,20.09,2
R527GO,2025-04-01,Chennai,10,9,1,1,42.76,6.39,434.61,0,12.63,90.53,54,3.99,4.45,21.1,4
R691QU,2025-04-01,Delhi,13,9,0,0,60.2,5.94,724.32,80,16.18,146.86,56,5.68,4.3,19.48,4
R685QX,2025-04-01,Mumbai,14,10,2,2,62.01,14.64,649.37,80,21.02,167.09,52,5.71,4.76,21.05,3
R492AX,2025-04-01,Delhi,7,4,2,3,30.99,1.72,360.43,0,7.28,80.46,75,3.29,4.24,21.85,5
R845RM,2025-04-01,Kolkata,8,5,0,3,37.13,7.15,310.83,0,16.75,90.48,56,3.54,4.1,26.64,1
R916GV,2025-04-01,Bangaluru,7,6,0,2,33.37,2.18,299.78,0,11.21,74.65,56,2.99,4.49,26.57,2
R863YO,2025-04-01,Mumbai,11,9,3,2,50.37,7.6,532.33,0,22.04,120.23,40,4.78,4.63,20.6,4
R814AE,2025-04-01,Chennai,14,12,2,0,59.25,17.2,653.55,80,26.64,190.8,78,6.31,4.84,22.63,6
R596BH,2025-04-01,Mumbai,9,7,0,2,39.96,7.7,381.75,0,13.0,103.7,38,3.47,4.62,23.37,1
R941IY,2025-04-01,Kolkata,7,6,1,0,28.86,5.79,302.31,0,5.56,68.38,51,2.99,4.86,21.34,0
R781EN,2025-04-01,Chennai,10,7,3,0,44.15,0.84,512.71,0,20.24,92.06,65,4.34,4.44,21.27,2
R429TL,2025-04-01,Bangaluru,12,10,3,3,54.46,8.25,466.84,0,14.78,135.09,47,4.23,4.72,26.17,2
R535QA,2025-04-01,Mumbai,5,4,3,0,24.49,2.43,242.21,0,5.62,72.94,90,3.28,4.49,19.4,2
R123GG,2025-04-01,Chennai,14,12,0,2,59.06,17.92,615.95,80,24.62,175.54,70,6.14,4.76,22.57,6
R382WS,2025-04-01,Delhi,13,12,2,0,57.01,14.05,602.59,80,18.1,134.83,49,4.83,4.83,25.5,3
R477WN,2025-04-01,Hyderabad,4,3,2,0,19.11,1.23,231.84,0,3.71,46.56,86,2.66,4.44,22.82,12
R956OG,2025-04-01,Kolkata,11,8,1,0,53.84,7.67,592.37,0,15.2,164.49,51,4.12,4.81,25.72,2
R862IR,2025-04-01,Mumbai,12,7,2,3,55.64,4.99,551.19,0,13.27,149.36,36,4.45,4.39,22.29,0
R865EG,2025-04-01,Bangaluru,17,14,3,1,80.14,9.28,839.46,80,34.39,204.46,73,6.64,4.85,27.08,7
R485RP,2025-04-01,Mumbai,16,12,2,2,65.45,18.81,759.59,80,17.31,175.07,89,6.68,4.43,21.29,6
R821NF,2025-04-01,Mumbai,15,12,3,3,66.72,6.59,712.19,80,18.3,174.07,81,6.11,4.81,23.5,4
R128FS,2025-04-01,Bangaluru,7,5,1,1,30.11,7.22,356.36,0,6.75,82.62,70,3.15,4.56,26.51,3
R937OB,2025-04-01,Bangaluru,14,11,3,0,62.83,10.58,745.21,80,18.63,153.14,68,5.41,4.46,22.69,8
R239YX,2025-04-01,Hyderabad,9,6,2,3,41.88,11.94,434.43,0,14.39,135.89,54,3.7,4.77,27.04,7
R111AR,2025-04-01,Bangaluru,8,7,3,0,34.78,2.54,315.79,0,7.92,74.99,62,2.96,4.73,26.33,7
R589FG,2025-04-01,Kolkata,11,8,0,2,44.86,4.41,488.06,0,9.71,105.88,43,3.47,4.12,23.75,6
R625AG,2025-04-01,Chennai,17,14,2,0,80.44,20.42,730.9,80,32.2,190.15,50,6.95,4.62,25.12,2
R170KV,2025-04-01,Kolkata,10,8,2,0,50.99,3.08,513.05,0,17.28,125.04,50,4.79,4.83,19.97,0
R509XS,2025-04-01,Chennai,5,3,3,1,25.12,3.78,224.71,0,6.94,53.67,88,3.0,4.28,26.46,3
R797MY,2025-04-01,Delhi,7,5,2,0,29.71,4.6,243.38,0,9.83,72.19,56,3.31,4.56,20.14,0
R353UQ,2025-04-01,Mumbai,11,8,0,3,54.08,9.91,555.21,0,15.25,158.1,83,5.81,4.14,19.67,5
R517JR,2025-04-01,Delhi,5,4,1,2,24.33,5.58,217.39,0,6.15,62.01,85,3.37,4.48,20.35,4
R971UI,2025-04-01,Chennai,14,11,0,2,62.26,17.23,654.21,80,11.59,176.34,88,5.94,4.83,21.97,3
R985VW,2025-04-01,Bangaluru,10,7,3,3,44.59,11.13,513.56,0,12.15,144.29,43,4.35,4.1,19.89,1
R241PB,2025-04-01,Delhi,16,11,2,3,65.68,2.9,738.57,80,10.97,129.34,52,5.29,4.36,19.89,2
R625JY,2025-04-01,Hyderabad,11,7,1,1,51.02,9.3,547.23,0,18.45,140.19,90,4.92,4.18,26.95,10
R821VG,2025-04-01,Delhi,15,11,3,0,65.53,15.67,571.36,80,18.08,156.29,40,5.56,4.82,21.7,2
R683AR,2025-04-01,Bangaluru,16,13,1,2,81.05,8.52,810.32,80,16.72,218.9,43,5.44,4.75,27.03,4
R454JZ,2025-04-01,Mumbai,10,6,2,3,39.34,1.76,397.31,0,18.04,96.28,82,4.59,4.23,20.13,0
R134NO,2025-04-01,Delhi,16,11,1,3,75.5,6.67,882.2,80,19.06,142.37,58,6.09,4.18,21.42,2
R385HZ,2025-04-01,Hyderabad,16,10,2,3,74.96,14.26,832.39,80,21.48,239.74,35,5.11,4.1,26.89,12
R431EJ,2025-04-01,Hyderabad,17,11,1,2,79.95,17.93,735.63,80,21.45,200.34,44,6.13,4.09,23.79,12
R789FN,2025-04-01,Mumbai,13,12,3,0,53.32,15.22,694.16,80,14.18,144.94,36,5.06,4.78,19.66,6
R551YE,2025-04-01,Bangaluru,10,7,3,0,44.61,10.31,431.05,0,16.24,134.8,65,4.33,4.73,23.61,1
R262XP,2025-04-01,Delhi,10,7,2,0,41.97,1.02,488.29,0,13.24,99.81,53,3.55,4.11,24.36,6
R151ML,2025-04-01,Kolkata,13,12,3,2,57.07,5.4,605.21,80,18.0,139.8,42,4.29,4.89,26.53,1
R311OD,2025-04-01,Kolkata,8,6,0,2,33.05,8.33,289.25,0,9.73,97.32,52,3.31,4.84,22.7,2
R287RR,2025-04-01,Kolkata,10,8,1,2,43.93,2.72,485.52,0,9.74,93.31,36,3.25,4.49,22.79,2
R681PZ,2025-04-01,Kolkata,10,9,1,1,39.28,11.88,443.65,0,15.41,110.31,76,4.21,4.52,25.76,1
R223NE,2025-04-01,Chennai,14,8,2,3,58.93,16.7,545.65,80,11.76,188.09,83,5.2,4.33,26.85,4
R674XE,2025-04-01,Chennai,10,8,1,1,48.26,1.45,598.02,0,18.87,99.59,79,4.86,4.73,21.14,2
R858YJ,2025-04-01,Hyderabad,9,6,3,1,38.55,0.88,379.24,0,15.63,84.23,78,3.87,4.31,25.0,6
R922KX,2025-04-01,Delhi,7,6,3,1,31.21,9.77,368.54,0,13.34,76.72,70,3.55,4.48,25.33,1
R911DU,2025-04-01,Delhi,12,10,0,1,55.79,4.6,592.72,0,14.36,105.71,58,4.76,4.59,24.23,1
R901TX,2025-04-01,Chennai,8,6,1,1,37.45,9.3,323.31,0,6.22,102.23,50,3.32,4.5,23.36,1
R677ZX,2025-04-01,Kolkata,7,6,1,0,36.69,1.4,414.96,0,12.0,74.42,50,3.4,4.46,20.14,6
R438QZ,2025-04-01,Delhi,10,8,2,3,41.27,10.37,379.76,0,8.63,108.21,72,4.36,4.44,20.44,5
R889KJ,2025-04-01,Chennai,12,7,0,0,50.96,8.26,579.73,0,17.21,129.05,62,4.32,4.19,25.74,3
R986KZ,2025-04-01,Mumbai,16,12,1,0,67.09,9.04,720.92,80,19.68,192.04,35,5.72,4.67,19.41,5
R299OQ,2025-04-01,Delhi,18,13,0,1,79.77,1.9,891.17,100,19.27,190.74,83,6.46,4.38,24.15,3
R115LY,2025-04-01,Hyderabad,9,8,3,1,38.79,0.9,406.74,0,8.72,100.7,37,3.24,4.64,21.73,12
R202BO,2025-04-01,Mumbai,8,6,1,1,33.13,11.1,378.1,0,6.15,92.44,56,3.49,4.8,21.8,6
R256DT,2025-04-01,Chennai,9,7,2,1,38.51,6.72,354.77,0,9.49,91.2,60,3.81,4.45,20.64,1
R360ED,2025-04-01,Chennai,9,7,0,3,34.51,9.05,409.79,0,10.06,81.66,73,4.02,4.67,21.17,4
R677JT,2025-04-01,Mumbai,19,15,0,0,83.17,6.12,815.55,100,14.36,183.8,57,6.79,4.73,19.72,6
R313KW,2025-04-01,Kolkata,5,4,1,0,21.46,2.86,226.04,0,6.85,52.12,46,2.37,4.3,20.31,6
R892UM,2025-04-01,Mumbai,16,10,1,0,71.22,5.0,634.83,80,22.75,193.11,86,6.95,4.15,21.14,4
